X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y
0,-6,3,0.10,3,3,1.00,b,b,0.33,a,-5,c,b,1,c,1,yes,1
2,6,2,0.11,1,2,1.00,c,a,0.33,b,-4,a,b,1,b,1,yes,1
2,9,2,0.31,2,5,0.00,c,a,0.33,c,-3,c,b,2,d,1,yes,1
0,-6,3,0.06,2,3,0.67,c,a,0.33,c,-8,c,b,1,c,1,yes,1
0,0,3,0.17,1,3,0.33,c,a,0.00,b,-2,c,b,1,c,1,yes,1
2,18,2,0.11,2,5,1.00,c,a,1.00,d,24,a,c,2,c,1,yes,2
0,-12,4,0.03,1,3,0.00,c,c,0.33,a,-7,b,b,1,b,2,yes,1
2,-6,3,0.34,1,1,0.33,c,a,0.00,d,19,c,b,1,d,1,yes,2
0,18,1,0.51,2,3,0.33,b,a,0.33,c,-2,b,b,2,c,1,yes,1
3,0,3,0.09,2,5,0.67,b,a,0.33,c,-10,c,b,1,d,1,yes,1
1,18,1,0.33,2,2,1.00,b,b,1.00,d,-10,c,a,2,b,1,yes,2
2,-9,3,0.06,2,3,0.33,d,a,0.00,a,-6,a,b,1,c,1,yes,1
2,-3,1,0.07,1,5,1.00,c,c,1.00,a,17,c,b,2,c,1,yes,1
2,18,5,0.09,2,5,1.00,c,a,1.00,d,28,c,c,1,d,1,yes,2
2,30,5,0.78,2,3,0.33,c,a,0.33,c,-8,c,b,1,c,1,yes,2
0,6,3,0.16,2,2,1.00,b,a,1.00,b,-7,c,b,1,c,1,yes,1
0,9,3,0.27,1,5,1.00,c,a,1.00,b,15,c,b,4,c,2,yes,1
0,-6,3,0.11,2,2,0.33,b,a,0.33,c,-4,a,b,1,c,1,yes,1
2,-6,3,0.04,5,3,1.00,d,a,0.00,a,-11,c,b,1,c,1,yes,1
0,18,3,0.09,2,3,1.00,c,a,1.00,d,4,b,c,1,c,1,yes,2
0,18,3,0.12,1,3,1.00,b,a,1.00,c,-8,c,b,1,c,1,yes,1
0,18,3,0.43,2,3,0.00,b,a,0.33,b,-3,a,b,1,c,1,yes,1
0,-11,1,0.03,1,5,1.00,c,a,0.33,b,13,c,a,2,b,1,yes,1
1,-10,1,0.05,2,5,0.67,c,a,1.00,d,18,a,c,2,d,2,yes,1
2,24,1,0.31,2,4,0.33,b,a,0.00,a,8,a,b,2,b,1,yes,1
1,18,3,0.10,1,5,1.00,c,a,1.00,d,7,c,b,1,d,1,yes,2
1,-6,1,0.07,2,5,1.00,c,a,1.00,d,33,c,c,2,d,1,yes,1
1,24,3,0.20,2,2,1.00,c,a,0.67,c,1,c,b,1,c,1,yes,2
2,-7,2,0.25,2,4,0.33,c,a,1.00,b,18,c,b,1,c,1,yes,1
0,36,5,0.51,1,3,0.33,c,a,0.33,b,6,c,b,1,b,2,yes,1
2,12,3,0.20,2,2,0.33,d,a,0.00,b,-11,c,b,1,c,1,yes,1
0,6,3,0.31,1,2,0.00,b,a,0.00,c,11,c,b,2,c,1,yes,2
0,-3,3,0.05,4,5,1.00,c,a,0.67,b,14,b,b,1,c,1,yes,1
0,0,3,0.07,3,3,0.67,b,a,1.00,b,-9,c,a,1,b,1,yes,1
1,6,3,0.08,2,5,1.00,b,c,1.00,a,25,c,b,1,b,1,yes,1
1,-8,3,0.11,2,5,0.67,c,a,1.00,a,19,c,b,1,b,1,yes,1
0,-6,1,0.06,2,3,1.00,b,c,0.33,a,-4,c,b,2,d,1,yes,1
2,0,1,0.06,2,2,1.00,b,a,0.00,b,-6,c,b,2,c,1,yes,1
2,18,3,0.68,3,3,0.00,c,a,1.00,d,14,c,c,1,c,2,yes,2
1,0,3,0.11,3,4,1.00,c,a,0.67,c,-3,c,b,1,d,2,yes,1
1,-6,5,0.05,2,4,1.00,c,a,0.67,a,-5,c,b,2,c,1,yes,2
0,-6,1,0.02,2,5,1.00,c,a,1.00,a,23,c,b,1,c,1,yes,1
1,-6,1,0.06,2,5,1.00,c,a,0.67,a,21,c,b,1,c,1,yes,1
0,-6,1,0.03,1,5,1.00,b,a,0.67,b,0,a,b,1,b,2,yes,2
3,6,1,0.19,1,5,1.00,c,b,1.00,d,-13,c,a,2,c,1,yes,1
2,-6,3,0.06,5,5,1.00,c,a,1.00,a,21,c,b,1,c,1,yes,1
2,36,5,0.86,2,2,0.67,c,a,1.00,d,25,c,a,1,c,1,yes,2
0,-6,1,0.10,1,4,1.00,b,a,0.33,c,28,c,b,1,c,1,yes,1
2,0,3,0.13,3,3,1.00,c,a,1.00,c,1,c,b,1,c,1,yes,1
2,18,1,0.11,2,5,1.00,c,a,1.00,a,3,c,b,1,c,1,yes,1
2,2,2,0.37,1,4,0.67,c,a,1.00,b,3,a,a,2,d,2,yes,1
0,6,3,0.07,3,5,1.00,d,a,1.00,a,8,c,a,1,b,1,yes,1
2,18,3,0.11,2,4,1.00,c,a,1.00,c,-9,c,a,1,c,1,yes,1
0,-12,2,0.04,2,3,0.67,b,a,0.33,a,-9,c,b,1,c,1,yes,1
2,-9,1,0.09,2,4,1.00,c,a,0.67,c,2,c,a,1,c,1,yes,1
0,-6,3,0.12,1,2,0.33,d,a,1.00,c,-7,c,a,1,c,1,yes,1
2,6,1,0.64,2,3,0.33,c,b,0.67,c,6,c,b,2,d,2,yes,2
0,0,4,0.34,2,5,0.33,c,a,1.00,d,6,a,b,2,d,2,yes,2
2,-6,3,0.32,2,4,0.33,c,a,0.33,c,-1,c,b,1,c,1,yes,1
1,6,3,0.41,1,2,0.00,b,a,0.33,b,-3,c,b,1,c,1,no,1
2,-4,3,0.06,4,5,0.00,d,a,0.33,a,2,c,b,1,c,1,yes,1
2,-12,2,0.07,3,5,0.00,a,a,0.33,c,-2,a,b,2,c,2,yes,1
3,-3,3,0.01,2,2,1.00,b,a,1.00,b,-10,c,a,1,c,1,yes,1
2,0,3,0.33,2,4,0.67,c,a,0.67,a,-5,c,a,1,b,1,yes,1
0,18,1,0.42,2,3,1.00,b,a,1.00,a,-8,b,b,2,c,1,yes,2
1,-6,3,0.08,4,5,0.67,d,a,0.00,a,2,c,b,1,c,1,yes,1
0,30,1,0.18,1,5,1.00,c,a,0.00,a,14,c,b,1,c,1,yes,1
1,24,3,0.38,1,4,1.00,b,a,0.67,c,-3,c,b,1,d,1,yes,2
1,-8,1,0.10,1,2,0.33,b,b,0.67,a,-6,c,a,2,c,1,no,1
1,15,1,0.22,4,3,0.00,b,a,1.00,c,-10,c,b,2,c,1,yes,2
2,-6,1,0.12,4,4,0.67,a,a,0.67,c,3,c,b,1,d,1,yes,1
1,3,3,0.09,2,3,0.67,b,a,0.33,a,-8,c,b,2,c,1,yes,2
0,6,1,0.20,2,5,1.00,b,a,0.33,c,8,c,a,2,d,1,yes,1
0,-6,3,0.08,2,3,0.67,c,a,0.33,a,-9,c,a,1,b,1,yes,1
3,-8,1,0.03,2,5,1.00,c,a,1.00,d,30,c,c,2,c,1,yes,1
2,0,3,0.09,1,2,1.00,b,a,0.67,a,-6,c,a,1,c,1,yes,2
1,-6,1,0.10,2,3,1.00,c,a,0.33,b,-3,c,b,2,c,1,yes,1
1,-6,3,0.02,2,3,1.00,d,a,0.33,a,7,c,b,1,b,1,yes,1
2,-6,3,0.02,2,3,1.00,c,a,0.33,c,-3,c,b,1,c,1,yes,2
2,-6,1,0.09,2,1,1.00,c,a,0.33,c,1,c,b,2,d,1,yes,1
1,-6,1,0.18,2,3,0.67,b,b,0.33,a,-4,c,b,2,c,1,yes,2
2,30,3,0.45,1,4,0.00,b,a,0.33,c,-9,c,b,1,c,1,yes,1
1,18,2,0.37,2,3,1.00,c,a,0.67,b,-4,b,b,1,c,1,yes,2
0,-3,3,0.14,2,2,0.33,c,a,0.67,b,-6,a,b,2,b,1,yes,1
0,0,3,0.10,2,3,1.00,c,a,1.00,d,14,a,c,2,c,1,yes,1
0,42,3,0.54,3,4,0.33,b,a,1.00,a,-12,c,b,1,c,1,yes,1
0,-6,1,0.05,1,5,1.00,b,a,0.33,a,5,c,b,2,c,1,yes,1
0,9,2,0.46,5,3,0.33,c,a,0.33,c,-6,c,b,2,c,1,yes,1
2,-6,3,0.03,4,3,1.00,c,a,0.67,a,33,c,b,1,b,1,yes,2
2,-3,1,0.14,1,4,1.00,c,c,0.33,a,2,a,b,3,c,1,yes,1
3,-6,3,0.09,2,3,0.33,b,a,0.33,c,11,c,a,1,b,1,yes,1
3,-12,3,0.03,5,2,0.33,d,a,0.33,a,-6,c,b,1,a,1,no,1
2,18,3,0.25,2,2,1.00,b,a,0.00,d,-3,c,b,1,d,1,yes,1
1,9,3,0.17,2,3,0.67,c,a,0.33,c,-6,c,b,1,d,1,yes,1
1,0,3,0.12,2,3,0.33,c,a,0.33,c,-11,c,b,1,c,1,yes,2
0,3,1,0.11,2,2,1.00,b,a,1.00,b,-10,c,b,1,c,1,yes,1
2,30,4,0.18,3,4,1.00,c,a,0.33,c,-3,c,b,1,c,1,yes,1
1,-12,1,0.03,2,5,0.00,b,a,1.00,d,6,c,b,2,c,1,yes,1
0,-6,1,0.02,3,4,1.00,b,a,0.67,c,18,c,b,2,c,1,yes,1
1,18,1,0.28,2,3,0.67,c,c,0.33,b,-5,c,b,2,c,1,yes,1
0,0,1,0.07,5,5,1.00,c,a,1.00,c,13,c,b,2,c,1,yes,1
0,-12,3,0.06,3,5,0.33,c,a,1.00,d,9,a,c,1,c,2,yes,1
0,-8,3,0.09,2,3,0.00,c,a,1.00,b,5,c,b,1,c,1,no,1
3,18,3,0.31,2,3,1.00,c,a,0.00,c,-9,c,b,1,c,1,yes,1
2,6,1,0.41,5,5,0.33,b,a,1.00,d,-4,c,a,1,c,1,yes,1
2,6,2,0.37,3,4,1.00,c,a,1.00,c,3,c,a,1,d,1,yes,1
1,-6,3,0.06,2,3,0.33,b,a,1.00,c,-13,c,a,1,c,1,yes,2
1,-9,1,0.06,3,5,0.67,c,c,1.00,a,15,c,b,2,c,2,no,1
1,-6,4,0.00,2,5,1.00,d,a,0.00,c,12,a,b,1,b,1,yes,1
2,6,3,0.18,3,4,0.33,c,a,0.67,c,5,a,b,2,c,1,yes,1
0,-12,1,0.09,1,3,0.00,c,a,0.33,a,1,c,b,2,b,2,yes,1
0,6,1,0.14,3,5,0.67,c,a,1.00,a,3,c,b,1,c,2,yes,1
0,0,1,0.04,2,2,1.00,b,a,0.00,b,-3,c,b,2,c,1,yes,1
0,-3,3,0.06,4,4,1.00,c,a,0.67,b,3,c,b,2,c,1,yes,1
2,-8,3,0.39,2,1,0.33,c,a,1.00,d,37,a,c,1,d,1,yes,1
0,18,3,0.04,4,5,1.00,c,a,1.00,b,3,c,b,1,c,1,yes,1
0,-12,3,0.15,4,3,0.00,c,a,0.33,c,-1,c,b,1,c,1,yes,1
1,0,3,0.05,2,1,1.00,b,a,0.33,c,0,c,b,1,c,1,yes,2
2,-7,3,0.07,5,2,1.00,b,a,0.00,a,-13,c,b,1,c,1,yes,1
0,6,3,0.20,2,4,0.33,b,a,1.00,b,-8,c,a,1,c,1,yes,1
2,6,1,0.09,2,5,1.00,a,a,1.00,a,-2,c,b,2,c,1,yes,2
1,-3,5,0.04,2,5,1.00,c,a,0.67,c,0,c,a,2,c,2,yes,2
0,-6,3,0.03,2,3,1.00,b,a,0.00,a,-7,c,b,1,c,1,yes,1
2,6,2,0.10,2,1,0.67,b,a,0.33,b,1,c,b,1,d,1,yes,2
2,-10,3,0.06,2,3,1.00,c,c,0.33,a,0,c,b,1,c,1,no,1
1,3,2,0.17,2,2,0.33,c,a,0.00,b,-7,c,b,2,c,1,yes,2
0,12,4,0.40,1,1,1.00,b,a,0.00,a,20,a,b,1,d,1,yes,2
1,-6,3,0.13,2,3,0.33,a,a,0.00,c,9,c,b,1,c,1,yes,1
1,-12,1,0.00,4,5,1.00,c,a,1.00,c,19,c,b,2,c,1,yes,1
0,-6,3,0.09,2,4,1.00,c,a,0.33,c,-2,c,a,2,d,2,yes,1
1,3,1,0.02,2,5,1.00,c,a,1.00,a,32,c,b,2,c,1,yes,1
0,18,2,0.51,2,2,0.00,a,a,0.00,c,-5,c,b,2,c,1,yes,2
2,18,2,0.23,2,3,0.33,a,a,0.33,a,-3,b,b,2,d,1,yes,2
1,3,4,0.08,1,3,1.00,c,a,0.33,b,7,c,b,2,b,2,yes,2
0,6,1,0.19,5,3,1.00,c,a,1.00,a,17,c,b,1,c,1,yes,1
2,0,1,0.03,2,5,1.00,c,a,1.00,c,3,a,b,1,c,2,yes,2
0,-3,1,0.06,2,3,1.00,c,a,0.33,b,-2,c,b,2,c,1,yes,1
2,-9,4,0.27,2,5,0.33,b,a,1.00,d,41,a,c,1,d,2,yes,2
2,-2,1,0.05,2,1,0.33,c,a,0.67,c,35,c,c,3,a,1,yes,1
1,-6,3,0.02,3,4,1.00,d,a,0.00,b,-13,c,b,1,c,1,yes,2
2,0,5,0.16,2,3,0.00,b,a,1.00,c,0,a,b,2,c,1,yes,1
0,6,3,0.24,5,3,0.33,c,a,0.67,b,21,c,b,3,d,1,yes,2
2,30,5,0.20,3,4,1.00,c,a,1.00,d,1,c,c,1,b,2,yes,2
2,9,3,0.20,2,3,1.00,c,a,0.33,c,3,c,b,1,c,2,yes,2
0,-12,3,0.10,2,4,0.33,d,a,0.33,a,-4,c,a,1,c,1,yes,1
2,27,3,0.15,3,3,1.00,c,c,1.00,b,-12,c,a,1,c,1,yes,2
2,-9,1,0.07,2,5,0.33,b,a,0.67,c,1,c,b,2,d,1,yes,2
0,-12,1,0.06,2,3,0.00,b,a,0.00,c,-5,c,b,2,c,1,yes,1
2,-6,3,0.04,3,2,1.00,b,a,1.00,c,-6,a,a,4,c,1,yes,2
2,6,3,0.14,1,5,1.00,c,a,1.00,d,3,a,c,1,c,1,yes,1
2,0,2,0.22,2,5,1.00,a,a,0.67,d,7,c,b,1,d,1,yes,2
0,-9,1,0.04,4,5,1.00,c,a,0.33,c,19,c,b,2,c,1,yes,1
1,-6,3,0.05,2,3,1.00,d,a,0.67,a,-6,c,b,1,b,1,yes,1
0,9,2,0.27,2,4,0.67,c,a,1.00,c,-7,c,b,2,c,1,yes,1
1,-6,3,0.04,2,4,1.00,d,a,1.00,b,-12,c,a,1,c,1,yes,2
0,-6,1,0.07,2,5,1.00,c,a,0.00,a,5,c,b,2,b,2,yes,1
1,12,1,0.57,2,5,0.67,c,a,1.00,d,5,c,c,3,d,2,yes,1
0,-6,1,0.09,2,5,1.00,c,a,1.00,a,10,c,b,3,c,1,yes,1
2,-6,1,0.06,2,4,1.00,c,a,0.67,b,-7,c,b,1,c,1,yes,1
1,6,3,0.35,2,3,0.33,d,a,0.33,c,-12,b,b,1,b,1,yes,1
0,-6,3,0.06,5,4,0.67,c,a,0.33,b,22,c,b,1,c,1,no,1
0,-9,1,0.16,1,3,0.00,c,a,0.33,a,0,c,b,2,c,2,yes,1
0,18,3,0.20,1,5,0.33,b,a,1.00,a,12,c,b,1,b,1,yes,1
1,9,5,0.28,2,1,0.33,c,a,1.00,b,17,b,b,2,c,1,yes,2
3,12,2,0.09,2,5,1.00,c,a,1.00,a,33,c,b,1,d,1,yes,2
0,18,1,0.17,1,5,1.00,c,a,0.33,c,18,c,b,1,c,1,yes,1
2,-12,1,0.04,1,4,0.00,b,a,0.67,b,6,c,b,2,b,1,yes,1
1,0,5,0.16,2,4,0.67,c,a,0.00,b,-2,a,b,1,c,1,yes,1
3,18,3,0.20,2,3,0.33,c,a,0.33,a,-10,c,b,1,c,1,yes,1
1,6,3,0.15,2,3,0.33,a,a,0.33,a,-9,c,a,1,b,1,yes,1
0,-8,3,0.06,2,3,0.33,b,a,1.00,c,31,c,b,1,c,1,yes,1
2,-6,3,0.02,2,2,1.00,d,c,0.00,a,-7,a,b,1,b,1,yes,1
1,-6,3,0.05,1,3,1.00,b,a,1.00,b,-10,a,a,1,c,1,yes,1
0,-6,3,0.03,2,3,1.00,c,a,0.33,a,-3,a,b,2,c,1,yes,1
0,6,2,0.15,1,3,1.00,c,a,1.00,a,-1,c,b,2,c,2,yes,1
0,-3,3,0.24,2,3,0.67,c,a,0.33,c,-3,c,b,1,c,1,yes,1
0,18,5,0.13,2,3,1.00,c,a,0.33,c,-6,c,b,2,c,1,yes,1
2,30,3,0.59,5,4,0.00,c,b,0.33,d,-6,a,b,2,c,1,yes,2
1,-6,3,0.42,2,5,1.00,c,a,1.00,d,20,c,c,1,d,1,yes,2
0,-9,3,0.07,2,4,1.00,c,a,0.33,c,-11,c,b,1,c,1,yes,2
1,6,3,0.16,2,2,1.00,c,a,0.00,d,-11,a,c,1,c,1,yes,1
3,18,3,0.22,2,3,1.00,c,a,0.33,c,-7,c,b,1,c,1,yes,2
0,-9,3,0.12,4,5,0.33,c,a,1.00,d,18,c,c,1,b,1,yes,1
0,-6,3,0.10,3,4,0.67,c,a,0.00,d,2,c,b,1,c,1,yes,1
2,0,3,0.03,2,3,1.00,d,c,0.33,a,-8,c,b,1,b,1,yes,1
0,-14,1,0.07,2,4,0.33,c,a,0.00,a,9,c,b,3,b,2,yes,1
1,6,3,0.09,2,1,1.00,c,a,0.33,c,-3,b,b,1,d,2,yes,2
2,-12,3,0.79,1,1,0.00,c,a,0.33,b,-10,c,b,1,a,1,yes,2
2,3,3,0.14,3,5,1.00,a,a,0.33,c,28,a,a,2,b,1,yes,2
0,-6,1,0.06,2,3,1.00,b,a,0.33,b,2,c,b,2,c,1,yes,1
1,12,3,0.13,2,5,0.00,c,c,0.67,b,6,c,b,1,c,2,yes,1
1,6,3,0.04,1,5,1.00,b,a,0.33,c,-4,a,b,1,c,1,yes,2
0,-12,3,0.07,2,4,0.67,c,a,0.33,b,18,c,b,1,c,2,yes,1
1,30,5,0.24,2,5,0.67,c,a,1.00,d,-9,c,c,2,c,2,yes,2
0,-6,1,0.05,2,3,0.67,b,a,0.33,a,-6,c,b,2,c,1,yes,1
0,-6,4,0.18,4,3,1.00,b,a,0.67,a,2,c,b,1,b,2,yes,1
0,6,3,0.06,2,4,1.00,c,a,0.00,a,-8,c,b,1,c,1,yes,1
0,-6,1,0.03,2,5,1.00,c,a,1.00,a,19,c,b,3,c,1,yes,1
0,-12,5,0.05,3,3,1.00,c,a,0.00,d,2,a,a,1,c,1,no,1
3,6,3,0.09,2,3,0.33,c,a,0.33,a,-7,c,b,1,c,1,yes,1
0,0,3,0.01,2,1,0.67,b,b,1.00,a,-11,c,a,1,c,1,yes,2
1,-12,1,0.02,5,4,0.67,b,a,1.00,a,6,c,b,2,b,1,yes,1
3,-6,3,0.11,2,3,0.00,b,a,0.33,c,13,c,b,1,b,1,yes,1
2,12,3,0.10,2,3,1.00,b,c,0.33,d,-9,a,b,1,c,1,yes,2
0,6,2,0.21,3,3,0.33,c,a,0.67,b,2,c,b,2,c,1,yes,1
2,-9,3,0.10,1,4,0.33,c,a,0.00,c,-9,c,b,1,c,1,yes,1
2,42,2,0.39,1,3,0.00,c,a,0.00,a,-6,c,b,1,b,1,yes,1
0,6,1,0.13,2,3,1.00,c,a,0.33,a,2,c,b,2,b,1,yes,1
1,-6,4,0.10,2,3,1.00,a,a,0.00,d,-4,c,c,1,c,1,yes,2
0,-3,3,0.20,3,2,0.00,b,a,1.00,c,-10,c,b,1,c,1,yes,1
0,-7,1,0.05,3,1,1.00,b,a,1.00,a,24,c,b,3,b,1,yes,1
1,-6,3,0.08,2,3,0.33,c,a,0.33,a,-6,c,b,1,c,1,yes,1
1,6,3,0.07,2,5,1.00,b,a,1.00,c,22,c,b,1,c,1,yes,1
1,0,1,0.28,2,5,0.33,c,a,1.00,d,3,c,c,3,d,1,yes,1
0,-6,1,0.14,2,5,0.33,b,a,1.00,d,24,c,c,3,b,1,yes,1
0,-8,1,0.05,2,5,0.67,c,a,1.00,a,-1,c,b,2,b,2,no,1
2,-3,3,0.03,2,5,1.00,c,a,0.67,c,4,c,b,1,c,2,yes,2
0,18,1,0.33,1,5,1.00,c,a,1.00,a,3,c,b,2,c,1,yes,1
0,6,3,0.07,2,2,1.00,b,a,0.67,c,5,b,b,1,c,1,yes,1
1,-4,3,0.48,2,5,0.00,a,a,1.00,b,12,c,b,1,d,1,no,2
0,6,3,0.04,1,5,1.00,c,a,0.33,c,-8,c,b,2,c,1,yes,1
0,0,3,0.13,1,4,1.00,c,a,0.67,b,-1,c,b,1,c,1,no,1
0,-6,1,0.06,4,4,0.67,b,a,1.00,c,4,c,a,1,c,1,yes,1
2,30,4,0.66,1,1,1.00,c,b,1.00,d,3,c,c,1,d,1,yes,1
2,30,3,0.15,2,4,1.00,c,a,1.00,a,-5,c,b,2,c,1,yes,2
1,12,3,0.65,2,2,0.00,a,a,0.00,d,1,c,b,1,b,1,yes,2
0,-9,3,0.13,2,3,0.00,c,a,0.33,a,-1,c,b,1,c,2,yes,1
0,0,1,0.12,2,3,0.33,b,a,0.33,c,-7,c,b,2,c,1,yes,1
1,-6,3,0.06,1,5,0.33,a,a,1.00,b,16,c,b,1,b,1,yes,1
0,-12,3,0.24,2,2,0.00,b,a,1.00,b,-1,c,b,1,c,1,yes,2
0,6,3,0.09,3,3,1.00,c,a,1.00,c,-4,c,a,1,d,1,yes,1
0,-3,1,0.17,5,5,0.67,c,a,1.00,d,-10,c,a,2,c,1,yes,1
0,-6,3,0.07,2,3,1.00,c,a,0.33,a,17,c,b,1,c,1,yes,1
3,0,4,0.07,1,4,1.00,c,a,1.00,c,16,a,b,1,b,1,yes,1
0,-3,1,0.07,1,5,1.00,c,a,1.00,b,30,c,b,1,c,1,yes,1
2,6,1,0.20,3,2,1.00,a,a,0.33,c,4,c,b,1,c,1,yes,1
1,29,3,0.58,2,2,0.00,b,a,0.00,a,2,c,b,1,b,1,yes,1
1,30,3,0.25,2,4,1.00,c,a,0.67,b,-7,c,b,1,c,2,yes,1
2,30,2,0.40,3,1,0.33,c,a,1.00,d,-2,c,c,1,d,1,yes,1
2,-6,3,0.05,2,3,1.00,b,c,1.00,a,16,c,b,2,c,1,yes,1
1,6,2,0.04,2,2,1.00,d,a,1.00,a,15,b,b,1,c,1,yes,2
0,-6,3,0.05,2,3,0.33,d,a,0.33,a,-7,c,b,1,c,1,no,1
2,18,3,0.50,2,2,0.00,d,a,1.00,c,-5,c,a,1,d,1,yes,2
1,6,1,0.34,2,5,0.33,b,a,1.00,d,11,c,c,2,d,2,yes,1
3,24,1,0.25,2,5,1.00,c,a,1.00,d,23,c,c,1,c,1,yes,1
0,30,1,0.41,1,5,1.00,a,a,0.33,c,13,a,b,2,d,2,yes,1
2,30,3,0.53,2,2,0.00,b,a,0.33,c,-7,c,b,1,c,1,yes,2
0,-6,3,0.24,1,2,0.00,b,a,1.00,c,-13,c,a,1,c,1,yes,1
0,-8,3,0.06,1,5,1.00,c,b,0.33,b,12,c,b,1,b,1,no,1
0,0,3,0.12,2,3,0.67,c,a,1.00,a,10,c,b,1,c,1,yes,1
2,3,1,0.14,5,4,0.67,c,a,0.33,c,-6,c,b,2,c,1,yes,1
0,-12,3,0.02,2,1,0.00,b,a,1.00,a,21,c,b,1,a,1,yes,1
2,18,5,0.20,2,3,1.00,b,a,0.00,c,9,c,b,1,c,1,yes,2
